name,Grade,email,phone_number,Sex
Sheila Sims,D,mackbrenda@example.net,+1-705-320-6076x8716,Female
Mallory Perez,F,ptaylor@example.net,+1-486-755-9430,Male
Mary Becker,B,christiedelacruz@example.org,+1-261-423-7977,Male
Kent Jones,A,russellkimberly@example.net,001-271-357-3983x008,Male
Daniel Turner,A,grahammichael@example.com,001-564-562-1926x508,Female
Cassandra Thompson MD,D,donaldanderson@example.org,496.641.7546x37569,Female
Gina Robles,D,jduncan@example.net,(927)416-8901x05198,Female
Katie Macias,B,ryan67@example.net,803.399.9488x597,Male
Michael Baxter,C,dominiquebrewer@example.net,001-269-898-8784x0262,Male
Michele Bryant,B,connorhorne@example.net,+1-650-747-6208x60270,Male
Joanna Williamson,A,aguirreandrew@example.org,+1-860-502-8737x5150,Female
James Small,F,sdrake@example.org,+1-353-336-6966x0685,Female
Steven Baldwin,F,warejames@example.com,001-474-247-7006,Male
Nicolas Collins,D,sarah51@example.com,(905)336-6866,Male
Scott Terry,A,josephjohn@example.org,001-212-645-4042x9561,Male
Laura Wyatt,D,andersonronald@example.org,4638336220,Female
Charles White,F,lindaschroeder@example.org,355-820-9317,Female
Wendy Jackson,B,tjohnson@example.org,(905)765-8572,Male
Michael Barajas,F,clintonwashington@example.com,446-748-0079x0888,Male
Joshua Soto,A,brennanphyllis@example.net,643.350.8292x0200,Male
Lauren Barrett,C,bsmith@example.com,(911)812-7598x9171,Female
James Villanueva,B,debranorton@example.com,001-848-601-8221x70415,Female
Linda Tate,C,wburton@example.com,(223)921-9943x96862,Female
Jennifer Fletcher,C,fedwards@example.com,913.250.8375x46751,Female
Michael Gonzales,D,nathan09@example.com,+1-834-671-5725,Male
Randy Carr,A,jonathan33@example.net,5694291051,Female
Dr. William Dunn MD,B,kennedywendy@example.net,707-462-0158,Female
Becky Fitzpatrick,A,craigdaniel@example.org,001-550-642-3255x3050,Male
Michael Stewart,A,gonzalezannette@example.net,(891)756-3687,Female
John Jackson,A,rjones@example.org,(661)274-6085x10802,Male
Carolyn Beasley,D,cochransheri@example.net,001-502-396-2867x82765,Female
Michael Raymond,F,joshua66@example.net,001-291-384-8210x07068,Female
Andrea Murphy,A,nielsenerica@example.com,(543)202-7157,Male
Kelly Johnson,D,carlossnyder@example.org,(453)223-2176x5319,Female
Kristina Larsen,A,michael82@example.org,564-723-9712,Female
Sabrina Larsen,F,cindymiller@example.net,+1-906-377-9763x298,Female
Katelyn Powell,C,brendakeith@example.net,001-284-362-1447x584,Female
Eddie Khan,A,heidi60@example.com,537-995-3106,Female
Caitlin Caldwell,F,tiffanybarnett@example.com,(984)223-6426x548,Male
Joshua Martin,B,ayaladon@example.com,+1-835-605-2990x1345,Male
Jacob Bell,B,scott61@example.net,+1-266-484-5367x02353,Male
Jodi Fritz,C,igomez@example.org,679-602-8504,Female
James Burnett,F,kimberly44@example.org,248.823.2971,Male
Stephanie Jordan,C,wileystephen@example.org,(533)526-1864,Male
Rachel Clayton,C,chad19@example.com,+1-869-928-3356x75397,Female
Sarah Fitzgerald,F,abigailhudson@example.org,001-399-542-3619x43244,Male
Thomas Edwards,D,michaelwatts@example.org,279-526-3260,Female
Amanda Duke,F,miguelperez@example.net,(879)488-5326x018,Male
Erik Collins,B,martinezgerald@example.net,(754)284-2088,Female
Christine Ferguson,F,lori91@example.com,713.305.9183x2215,Female
Dustin Benson,F,emily58@example.org,356-325-6368x402,Male
Kristopher Griffin,D,wardamanda@example.org,+1-203-895-8043x8579,Female
Lee Brown,D,theresaray@example.com,(471)893-3428,Female
William Davis,C,jsmith@example.com,(611)806-0293,Female
Donna Hubbard,D,millerjean@example.com,+1-964-518-3851x423,Male
Laura Nichols,D,jill14@example.net,818-367-4255,Male
Roger Schmidt,F,dustinflowers@example.com,(447)229-4972,Female
Rebecca Harris,D,catherine67@example.net,(539)662-6130x3821,Male
Darius Goodman,C,drodriguez@example.com,001-752-321-0448x6933,Male
Kenneth Jordan,F,shawnicholas@example.com,239.768.9984,Male
Ashley Ford,F,wfleming@example.com,2892680053,Female
Bailey Alvarado,C,hwilliams@example.org,571.733.1526x285,Male
Christopher Ortiz,A,fdyer@example.com,+1-955-910-1772x76765,Female
Tiffany Williams,C,nhobbs@example.com,501.956.2264,Male
Brett Garza,A,brandonterrell@example.com,523.972.7604x795,Male
John Johnson,D,blanchardjill@example.net,443-201-5564,Male
Christopher Snyder,F,xholt@example.org,873.971.5746x126,Male
Dennis Carter,A,zwilliams@example.net,834.668.9467x4266,Female
Meagan Bowman,F,jeanharris@example.com,917.861.0213,Male
Cody Cole,B,lwatson@example.org,+1-667-596-9951,Female
Laura Bowers,D,eric83@example.com,843-620-7747x315,Male
Daniel Warren,D,ashley76@example.net,+1-796-396-7660,Female
Steven Nichols,B,joshua06@example.org,8456214971,Female
Victoria Sawyer,A,greenwendy@example.net,+1-392-911-3127x957,Female
Melinda Moore,F,chad21@example.org,001-467-404-0829x353,Male
Kenneth Kramer MD,C,housewilliam@example.com,+1-867-429-9101x83682,Female
Casey Green,D,jfoster@example.org,984.291.5587x4950,Female
Rachael Jordan,F,maryhernandez@example.net,(935)350-7479x08654,Female
David Patterson,C,lgalloway@example.org,8179792215,Female
Kevin Mcdonald,D,shawnferguson@example.com,9776116056,Male
Bryan Ramirez,F,nicholejones@example.org,001-377-928-2461x89426,Male
Mrs. Linda Short,D,david89@example.com,+1-987-896-5154x40373,Female
David Owens,B,henryalejandra@example.net,(271)487-2261x846,Male
Kathryn Martinez,F,amyers@example.org,901-324-3294x698,Female
Mrs. Lisa Brooks MD,D,mitchellcourtney@example.com,(638)998-3402,Female
blanchardjill@example.net,D,myerstiffany@example.net,7108621994,Male
Edward Romero,A,matthewnguyen@example.org,+1-571-785-8452x653,Male
Richard Garcia,C,jeffreystafford@example.org,001-557-549-0108x9382,Female
David Thomas,C,eduncan@example.org,990.363.0304x8635,Male
Todd Delacruz,C,roachcarlos@example.net,(950)719-0721x3906,Female
Gregory Ayala,B,richardrocha@example.com,845.505.2722,Male
Patricia Price,B,josephconway@example.org,2005254357,Female
Lindsey Charles,A,kmcdaniel@example.com,274-452-3247,Male
Patrick Wilson,D,christopherperry@example.org,(422)244-8195x61101,Male
Molly Lynch,B,rogerchristian@example.org,244-649-9209x0605,Female
Sharon Lee,D,ashley86@example.com,(560)597-0266,Male
Wendy Holloway,B,qharrison@example.net,933-269-7825,Female
Timothy Nguyen,B,kwood@example.org,(422)857-3145,Male
Anthony Townsend,F,ekeller@example.org,906-864-2343x7259,Female
Brian Stevens,A,thomas84@example.org,(513)263-8732x746,Male
Lisa Aguilar,B,robert55@example.org,001-545-696-0404x90902,Male
David Barrett,F,kayla70@example.net,(958)285-9898,Male
Mitchell Ortiz,F,charlesschwartz@example.org,294-823-9848x8008,Female
Jill Hawkins,F,davisanna@example.org,001-756-864-5158x1155,Female
Cynthia Hicks,F,lwalter@example.org,3738632906,Male
Sean Simmons,D,fsmith@example.org,(838)939-3316x777,Male
Joshua Phillips,F,hprice@example.com,+1-278-866-9769,Female
Stacey Edwards,B,richardfisher@example.com,001-910-697-0281x20617,Female
Jeremy Wood,A,corey26@example.com,001-292-654-2194,Female
Bill Bradley,F,cortezmary@example.net,+1-504-951-5417x237,Male
Kevin Levy,D,hwilliams@example.com,(668)537-5731,Male
