name,Grade,email,phone_number,Sex
Gregory Hammond,C,barbara18@hotmail.com,972.538.9647,Female
Howard Murray,F,samantha59@day-murphy.org,-8181,Male
Donald Calhoun,C,colesmith@dunlap-smith.biz,096.103.8617x225,Male
Nicholas Hendricks,F,william60@french.net,303-162-1664x920,Male
Robert Johnson,A,campbellcathy@rocha.com,+1-186-721-5675x26799,Male
Kelsey Jones,B,dnelson@kirby.net,119.532.0314x7740,Male
Lisa Rosales,D,jacevedo@black-chapman.info,(604)030-1850x95215,Female
Jason Barnes,D,chad42@white.com,(514)839-3765,Male
Joanna Harrison,F,leapril@hotmail.com,3587615622,Female
Arthur Shelton,F,austin07@vasquez-simpson.biz,151.865.5810,Male
Brenda Smith,A,dmayo@rich.com,694.664.6034x77423,Female
Mrs. Kathleen Owen DDS,A,danielhernandez@little.net,335.750.7558x61552,Male
Kathleen Ware,B,lopezdenise@smith.com,(776)130-5009x80301,Female
William Garrison,B,thomaswilliam@yahoo.com,+1-304-480-7071x815,Male
Bridget Mcconnell,F,wfarrell@smith-nguyen.com,001-093-635-4675x862,Female
Megan Gonzalez,D,pcraig@yahoo.com,044-770-8437,Male
Jermaine Murphy,B,myersgregory@hotmail.com,(178)281-6176,Female
Christopher Garcia,B,mistydurham@tran-smith.com,777-130-1798,Male
Laura Jones,A,singhjennifer@lopez.com,7207706236,Female
Brian Cochran,B,bconley@crawford.org,-1222,Male
Cindy Nelson,D,eerickson@herrera.com,3380287651,Female
Kathryn Becker,F,jeffery59@hotmail.com,759-509-0345x24211,Male
Gary Marquez,B,lorettastewart@martinez-carr.info,(325)387-9799x785,Male
Kathryn Fox,A,hwilliams@yahoo.com,018-189-0544x7524,Male
Dana Smith,A,ggreen@yahoo.com,067-002-5404x997,Female
Whitney Jones,D,pattersontracy@yahoo.com,598-988-5671x425,Female
Melissa Lee,D,jesusmcintosh@hotmail.com,229.804.2363x4214,Female
Allen Johnson,B,jacqueline30@hotmail.com,037.082.4080,Male
Reginald Nolan,C,holmesmichael@vance.com,+1-531-802-7034x5884,Male
Brooke Knapp,B,markmoses@hotmail.com,(572)183-8433x246,Male
Brandon Bell,A,nalvarado@gmail.com,+1-656-491-2595x6195,Female
Andrew Martin,F,jessica23@berry.info,(431)717-6162,Female
Mark Wilson,F,tgentry@yahoo.com,-9185,Male
Amber Jimenez,D,odavis@mccoy-barajas.com,001-917-601-6300x28555,Male
Jordan Spencer,A,jillian37@martinez.com,6411707815,Male
Jacqueline Brown,D,martincarter@hotmail.com,546-490-5203,Female
Kimberly Anderson,F,jacob90@kim.com,(737)362-2662x4761,Female
Kristi Mitchell,B,kristybarker@church.com,518-854-8140x100,Male
Michael Ramirez,F,powellhannah@yahoo.com,001-434-586-0509,Male
Bill Mcknight,A,margaret34@gmail.com,212-224-4832,Male
Jeffery Kirby,C,jamiemunoz@bailey-adams.com,001-711-514-8311x371,Female
Ralph Reyes,B,wcook@gmail.com,219-037-4872x56346,Female
Steven Houston,C,yrich@johnson.com,5340291147,Female
Donald Thompson,C,denisemitchell@townsend.org,195-762-0490x628,Female
Frederick Cook,D,cookjonathan@gmail.com,+1-968-251-4499x50955,Male
April Higgins,A,phelpskristopher@gomez.com,722-308-4846x03492,Female
Aaron White,B,bradshawlisa@yahoo.com,762-302-8009x0026,Female
Lisa Baker,A,kimberly46@yahoo.com,+1-965-173-8080x78006,Male
Michelle Ruiz,A,jesse32@lee.com,+1-348-883-4303x7963,Female
Michael Williams,A,bharvey@lynch.com,184.595.8943x78792,Male
Sarah Kim,D,hollandkathy@hotmail.com,496.151.8132x423,Female
Cindy Bush,F,hogankevin@hotmail.com,808.508.5848x7248,Female
Zachary Chandler,A,spencerrobert@mullen-rose.info,5175955980,Male
Courtney Barry,D,ufrost@griffin.com,100.321.1213,Female
Kimberly Mccarthy,A,ashley26@hotmail.com,2017504487,Female
Krista Smith,F,zhansen@hotmail.com,3438745157,Female
Joshua Moore,C,davislaura@patel.biz,(003)803-2650,Female
Andrew Vaughn,A,murphyerin@gross.com,002.260.3089,Female
Norma Wright,F,vwatson@yahoo.com,489.996.7505,Male
April Jenkins,B,reyesdiana@brown-barrett.info,377-069-8264x3950,Male
Philip Williams,B,alvaradodakota@hotmail.com,648-012-0275,Male
Lindsey Hammond,C,denisegomez@gmail.com,039.091.3299,Female
Stacey Pitts,F,kellyreynolds@gmail.com,119-867-8520x279,Male
Jennifer Coleman,C,kaylee65@donovan-meyer.biz,(669)755-9374x63163,Male
Michael Moore,C,jonmiller@gmail.com,683-425-1653,Female
Javier Reed,F,katrina50@yahoo.com,-4990,Male
Mrs. Donna Key,D,ryan97@hotmail.com,+1-167-456-1368x265,Female
Timothy Hill,F,pclark@yahoo.com,(947)884-1669,Male
Alyssa Holden,B,fpaul@gonzalez.com,897.536.9737,Female
James Miller,F,justinroberts@taylor-montgomery.com,5338294488,Female
Julie Dunn,F,jeffreyboyle@yahoo.com,001-206-176-5178x992,Male
Peter Brooks,D,gloverrichard@gmail.com,868.754.3187x167,Female
Samuel Johnson,D,michaeljames@yahoo.com,(860)687-6408x598,Female
Justin Flores,C,paul51@yahoo.com,9474672953,Female
Jennifer Hawkins,D,tconway@hotmail.com,761-851-0827x139,Male
Stephanie Peterson,D,brian89@peterson.com,3866864835,Male
Mark Fowler,F,martinemily@stevenson-park.com,074.016.7464,Female
Jennifer Dunn,D,moonsally@gmail.com,+1-887-562-3372x718,Male
Benjamin Lloyd,C,glong@hotmail.com,(045)024-0464x213,Male
Kerry Bartlett,F,escott@caldwell.info,+1-664-872-7431x381,Male
Charles Reyes,F,andersonstuart@thomas.info,001-608-938-3650x776,Female
Colleen Ramirez,C,imartin@gmail.com,334.227.7170,Male
Mr. Kevin Martinez,A,nfoley@smith.com,-4058,Female
Sarah Murphy,C,maria95@yahoo.com,579.390.6969,Male
Jack Friedman,A,stanleybrian@benson.com,259-094-6493x465,Male
Sandra Bentley,D,jennifer07@prince.com,762.896.9508x446,Male
Rachel Chapman,F,browngeorge@yahoo.com,988-085-9729x84270,Male
Kristen Hampton,A,hansendylan@yahoo.com,473-642-7407x2013,Female
Bryan Cantu,F,milesmaureen@gmail.com,533.360.6508,Male
Michael Brown,B,brooksrobert@carroll.net,9878954069,Female
Mrs. Debra Gay,D,davidcain@gmail.com,518.804.8578,Male
Jason Bishop,D,brownsamuel@yahoo.com,825.798.1005x93355,Female
Anthony Brown,B,woodsrebecca@hotmail.com,+1-231-311-0698x607,Female
Thomas Smith,A,pdouglas@shelton-sims.org,001-574-623-8343x2018,Female
Cheryl Butler,F,perkinshunter@gmail.com,460.760.2276x47209,Male
Nicole Arnold,C,michaeloneill@gmail.com,271-315-5990,Female
Justin Jackson,D,williamsjoseph@yahoo.com,001-304-101-5081x614,Female
Donna Henderson,F,laura26@good.com,(239)807-2974x85592,Female
Brandon Cooper,C,nmyers@jackson.com,965-506-3576,Female
Zachary James,D,tthomas@miller-durham.biz,+1-368-339-5445x31560,Male
Sandra Quinn,F,wharper@martin-robinson.com,-9224,Male
Tyler Lee,D,parkskathryn@wu.com,+1-582-403-8268x96731,Female
Scott Davis,B,brandon36@hayes.com,737.126.4905x98134,Male
Mariah Bishop,F,wfoster@gmail.com,014-090-7809x7583,Female
Virginia Rivera,D,elizabethgrimes@armstrong-nash.com,+1-043-440-5180x28834,Female
John Johnson,D,george22@smith-watson.biz,001-490-026-8484x63133,Male
Steven Russell,A,vwall@gmail.com,+1-757-465-5103x579,Male
Christine Robinson,C,dannygreen@johnson.com,674.030.8666x637,Female
Laura Hinton,C,utaylor@saunders.com,+1-445-382-6486x780,Male
Manuel Robertson,C,mooreveronica@hotmail.com,730.781.7011x729,Female
Brittany Harrison,B,acunningham@hotmail.com,+1-304-480-7792x7609,Male
Denise Rodriguez,B,arthurdavis@morris-williams.org,332.222.1714x22531,Female
Jane Williams,A,leslie45@miller.com,453.317.8656x7758,Male
Michael Robinson,D,ryanmichael@hicks.info,402.466.0237,Male
Kurt Adams,B,dnovak@hotmail.com,557.762.8435,Female
Amy Campbell,D,daniel69@gmail.com,483.952.4122x957,Male
Donna Paul,B,darren36@gmail.com,+1-295-229-5702x898,Female
Maria Alexander,B,klarson@hotmail.com,(120)677-9653,Male
Julie Wilson,F,jesseflores@yahoo.com,081.754.8023x0322,Female
Patrick Anderson,A,carlasherman@kirk-salas.info,495.769.4227x63800,Male
Jennifer Payne,B,kimberly09@potts.com,393.953.4773x1259,Male
Kevin Walker,F,ewilkins@gmail.com,063.716.4016,Male
Michael Salinas,F,samanthamontes@yahoo.com,781184408,Female
Mrs. Margaret Reed,F,eric26@welch-weaver.org,(595)210-4596x67526,Female
Daniel Gross,F,samuelpierce@hotmail.com,(244)792-9956x998,Male
Joseph Matthews,D,greeneharold@marshall.net,981.534.6654x1823,Male
Gloria Jones,F,dana30@gmail.com,697-205-4290x940,Female
Courtney Williams,B,anthony09@brown.com,001-348-707-9152,Female
Monica Jordan,A,jennifer05@hotmail.com,506.481.1125,Female
Katie Stanley,F,kcarr@johnson-schneider.net,(188)660-4902,Male
Bailey Vaughan,D,crystalwatkins@yahoo.com,852.654.2113x4110,Male
